"game"|"show"|"date"|"comments"|"first"|"last"|"occupation"|"from"|"final"|"coryat"|"right"|"wrong"|"round1"|"round2"|"round3"
3701|6197|2011-07-19|"Mark Runsvold game 3."|"Tom"|"Vaughan"|"Plastic Surgeon"|"Cape Elizabeth, Maine"|17600|17600|21|5|400|10600|17600
3701|6197|2011-07-19|"Mark Runsvold game 3."|"Christine"|"Janson"|"Freelance Writer And Editor"|"Frederick, Maryland"|15100|7600|12|3|800|7600|15100
3701|6197|2011-07-19|"Mark Runsvold game 3."|"Mark"|"Runsvold"|"Student And Waiter"|"Moscow, Idaho"|21201|15600|19|1|5200|17400|21201
3702|6198|2011-07-20|"Mark Runsvold game 4."|"Zac"|"Youngblood"|"Truck Driver"|"Austin, Texas"|22400|15000|21|2|8000|11200|22400
3702|6198|2011-07-20|"Mark Runsvold game 4."|"Maria"|"Boyland"|"Social Studies And English Teacher"|"Rockaway Park, New York"|16200|10800|11|1|2400|10800|16200
3702|6198|2011-07-20|"Mark Runsvold game 4."|"Mark"|"Runsvold"|"Student And Waiter"|"Moscow, Idaho"|29599|22200|25|2|6600|26000|29599
3703|1237|1990-01-09|"Frank Spangenberg game 1."|"Al"|"Cotton"|"Word Processing Supervisor"|"Atlanta, Georgia"|4800|2400|14|4|1200|2400|4800
3703|1237|1990-01-09|"Frank Spangenberg game 1."|"Frank"|"Spangenberg"|"Police Officer"|"Flushing, New York"|15799|7500|23|4|6300|10700|15799
3703|1237|1990-01-09|"Frank Spangenberg game 1."|"Joe"|"Haggerty"|"Distributor Originally"|"Woonsocket, Rhode Island"|4801|3800|11|2|1800|2800|4801
3704|6199|2011-07-21|"Mark Runsvold game 5."|"Brian"|"Mcentee"|"An Academic Advisor"|"Arlington, Virginia"|30000|24800|27|1|6800|26200|30000
3704|6199|2011-07-21|"Mark Runsvold game 5."|"Samer"|"Ismail"|"Content Manager"|"Mckinney, Texas"|3201|6200|12|0|5800|6600|3201
3704|6199|2011-07-21|"Mark Runsvold game 5."|"Mark"|"Runsvold"|"Student And Waiter"|"Moscow, Idaho"|0|16400|16|1|3600|7400|0
3705|1238|1990-01-10|"Frank Spangenberg game 2."|"Susan"|"Gliner"|"An Attorney Originally"|"The Bronx, New York"|2400|1200|5|3|400|1200|2400
3705|1238|1990-01-10|"Frank Spangenberg game 2."|"Dick"|"Dobrow"|"Physician"|"Vancouver, Washington"|599|3500|11|1|1900|1500|599
3705|1238|1990-01-10|"Frank Spangenberg game 2."|"Frank"|"Spangenberg"|"Police Officer"|"Flushing, New York"|22799|12000|30|5|500|12900|22799
3706|6200|2011-07-22|""|"Tim"|"Wagner"|"Graduate Student Of Meteorology"|"Madison, Wisconsin"|200|16200|20|2|7800|16200|200
3706|6200|2011-07-22|""|"Linda"|"Percy"|"Retired Emergency Room Physician"|"Connellsville, Pennsylvania"|31600|16400|19|1|2000|15800|31600
3706|6200|2011-07-22|""|"Brian"|"Mcentee"|"An Academic Advisor"|"Arlington, Virginia"|13600|12400|17|2|4800|13600|13600
3707|6201|2011-07-25|""|"Maggie"|"Diamond"|"University Development Writer Originally"|"ST. Louis, Missouri"|4600|9600|12|3|3600|7600|4600
3707|6201|2011-07-25|""|"Edgar"|"Mihelic"|"An Educator"|"Chicago, Illinois"|8398|4200|15|6|4200|4200|8398
3707|6201|2011-07-25|""|"Linda"|"Percy"|"Retired Emergency Room Physician"|"Connellsville, Pennsylvania"|18400|16600|26|3|7800|17400|18400
3708|6202|2011-07-26|""|"Andrew"|"Bach"|"Lawyer"|"Columbia, Missouri"|20400|9800|14|3|600|10200|20400
3708|6202|2011-07-26|""|"Graig"|"Zethner"|"Computer Engineer"|"East Meadow, New York"|4600|6400|14|3|2800|6400|4600
3708|6202|2011-07-26|""|"Linda"|"Percy"|"Retired Emergency Room Physician"|"Connellsville, Pennsylvania"|20401|16000|21|4|4400|14200|20401
3709|6203|2011-07-27|""|"Ryan"|"Fox"|"Graduate Student In Mathematics Education"|"Athens, Georgia"|18800|13400|13|3|1400|14800|18800
3709|6203|2011-07-27|""|"Amy"|"George"|"Geographic Information Systems Analyst"|"Richmond, Virginia"|2|12200|18|3|3800|15000|2
3709|6203|2011-07-27|""|"Linda"|"Percy"|"Retired Emergency Room Physician"|"Connellsville, Pennsylvania"|9199|19800|27|0|10800|19600|9199
3710|3203|1998-07-01|"John Skelton game 2."|"Richard"|"Lyle"|"Parole Officer"|"ST. Simons Island, Georgia"|7400|3700|13|3|900|3700|7400
3710|3203|1998-07-01|"John Skelton game 2."|"Allen"|"Galli"|"An Actor"|"Seattle, Washington"|7401|4600|8|1|1200|4000|7401
3710|3203|1998-07-01|"John Skelton game 2."|"John"|"Skelton"|"Lawyer And Real Estate Appraiser"|"Seattle, Washington"|31000|15000|36|1|5200|20800|31000
3711|980|1988-12-02|""|"Steve"|"Burns"|"Psychologist"|"Culver City, California"|1|2900|9|2|700|2900|1
3711|980|1988-12-02|""|"Donna"|"Levin"|"An Attorney"|"Chicago, Illinois"|3300|3100|6|2|300|3100|3300
3711|980|1988-12-02|""|"Jack"|"Lechner"|"Freelance Writer Originally"|"Arlington, Virginia"|12500|15800|38|0|6500|27500|12500
3712|6204|2011-07-28|"Justin Sausville game 1."|"Cathy"|"Markwiese"|"Librarian"|"Milwaukee, Wisconsin"|3598|1800|4|1|1000|1800|3598
3712|6204|2011-07-28|"Justin Sausville game 1."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|30000|25800|28|1|12100|27200|30000
3712|6204|2011-07-28|"Justin Sausville game 1."|"Ryan"|"Fox"|"Graduate Student In Mathematics Education"|"Athens, Georgia"|18800|15600|24|5|2800|11400|18800
3713|6205|2011-07-29|"Justin Sausville game 2. Last game of Season 27."|"Lisa"|"Mcdermott"|"An Arts Administrator"|"Modesto, California"|3800|6200|11|1|3400|6200|3800
3713|6205|2011-07-29|"Justin Sausville game 2. Last game of Season 27."|"Marty"|"Butterick"|"Director Of Operations Of Usc Baseball"|"Monterey Park, California"|14200|11000|18|2|3800|14200|14200
3713|6205|2011-07-29|"Justin Sausville game 2. Last game of Season 27."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|28401|18600|18|0|7200|20000|28401
3714|6206|2011-09-19|"Justin Sausville game 3. First game of Season 28. New title graphics. First show closed captioning sponsor message aired at end of second break rather than before Final Jeopardy! Alex limps onstage wearing a boot for his Achilles tendon injury, and conducts contestant interviews from behind his own host's lectern."|"Jane"|"Stimpson"|"Reference Librarian"|"League City, Texas"|3200|12000|13|0|2800|13600|3200
3714|6206|2011-09-19|"Justin Sausville game 3. First game of Season 28. New title graphics. First show closed captioning sponsor message aired at end of second break rather than before Final Jeopardy! Alex limps onstage wearing a boot for his Achilles tendon injury, and conducts contestant interviews from behind his own host's lectern."|"Glenn"|"Edwards"|"An Attorney"|"New York, New York"|799|13800|20|2|5600|14000|799
3714|6206|2011-09-19|"Justin Sausville game 3. First game of Season 28. New title graphics. First show closed captioning sponsor message aired at end of second break rather than before Final Jeopardy! Alex limps onstage wearing a boot for his Achilles tendon injury, and conducts contestant interviews from behind his own host's lectern."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|18399|13200|18|3|5600|9200|18399
3715|6207|2011-09-20|"Justin Sausville game 4."|"Ken"|"Herrera"|"An Mba Student Originally"|"Denver, Colorado"|16801|9800|16|2|3000|10000|16801
3715|6207|2011-09-20|"Justin Sausville game 4."|"Alex"|"Liteplo"|"An Educational Publishing Digital Producer"|"Wakefield, Massachusetts"|15601|12200|12|0|5800|12200|15601
3715|6207|2011-09-20|"Justin Sausville game 4."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|24401|16400|22|3|3600|16600|24401
3716|6208|2011-09-21|"Justin Sausville game 5."|"Beth"|"Hermann"|"School Receptionist"|"Melbourne, Florida"|8799|4400|14|3|3200|4400|8799
3716|6208|2011-09-21|"Justin Sausville game 5."|"Patrick"|"Sweaney"|"Dairy Machine Operator"|"Omaha, Nebraska"|0|11800|16|4|2200|11800|0
3716|6208|2011-09-21|"Justin Sausville game 5."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|16000|16200|23|7|4700|16000|16000
3717|6210|2011-09-23|"Justin Sausville game 7."|"Jessica"|"Burr"|"Book Editor"|"Bloomfield, New Jersey"|2399|12200|19|1|5800|13000|2399
3717|6210|2011-09-23|"Justin Sausville game 7."|"Amit"|"Kurlekar"|"An Attorney"|"Oakland, California"|16801|11800|18|3|6200|11800|16801
3717|6210|2011-09-23|"Justin Sausville game 7."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|3799|12000|16|6|1200|8400|3799
3718|6209|2011-09-22|"Justin Sausville game 6."|"Brian"|"Lehman"|"Communications Manager"|"Washington, D.C."|2|13600|17|1|3400|15000|2
3718|6209|2011-09-22|"Justin Sausville game 6."|"Anne"|"Kenney Chaplin"|"Housing Court Judge"|"Truro, Massachusetts"|1|6600|11|1|1800|6600|1
3718|6209|2011-09-22|"Justin Sausville game 6."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|16799|22600|28|3|9400|23400|16799
3719|6211|2011-09-26|"First game consolation prizes sponsored. Sponsor's name appears on podiums under prize totals at conclusion of game. (Sponsorship does not appear on reruns.)"|"Ellen"|"Mizio"|"Forensics Researcher"|"Tampa, Florida"|800|6800|12|4|2000|4800|800
3719|6211|2011-09-26|"First game consolation prizes sponsored. Sponsor's name appears on podiums under prize totals at conclusion of game. (Sponsorship does not appear on reruns.)"|"Matt"|"Douma"|"Standardized Test Scorer"|"Minneapolis, Minnesota"|14100|8000|13|2|2800|8000|14100
3719|6211|2011-09-26|"First game consolation prizes sponsored. Sponsor's name appears on podiums under prize totals at conclusion of game. (Sponsorship does not appear on reruns.)"|"Amit"|"Kurlekar"|"An Attorney"|"Oakland, California"|11999|14200|18|2|4400|14000|11999
3720|6212|2011-09-27|""|"Susan"|"Miller"|"College Student"|"Stow, Ohio"|8000|7600|10|2|2000|7600|8000
3720|6212|2011-09-27|""|"Joe"|"Iriana"|"An Exterminator"|"Wells, Maine"|15600|9400|14|6|1500|7900|15600
3720|6212|2011-09-27|""|"Matt"|"Douma"|"Standardized Test Scorer"|"Minneapolis, Minnesota"|40000|26200|30|1|7800|32800|40000
3721|6213|2011-09-28|""|"Libby"|"Nelson"|"Journalist"|"Kansas City, Missouri"|13199|6600|10|2|3400|6600|13199
3721|6213|2011-09-28|""|"Sergio"|"Llorian"|"An Attorney"|"New York, New York"|29201|17000|18|2|3000|16000|29201
3721|6213|2011-09-28|""|"Matt"|"Douma"|"Standardized Test Scorer"|"Minneapolis, Minnesota"|29200|16600|21|2|4200|14600|29200
3722|6214|2011-09-29|""|"Chris"|"Fleitas"|"High School College Prep Counselor"|"San Francisco, California"|38900|33000|31|3|6600|32400|38900
3722|6214|2011-09-29|""|"Lindsy"|"Lassere"|"Homemaker And Fitness Instructor Originally"|"Lake Charles, Louisiana"|8400|5400|14|5|2800|4400|8400
3722|6214|2011-09-29|""|"Sergio"|"Llorian"|"An Attorney"|"New York, New York"|3200|2600|8|3|1000|2600|3200
3723|6215|2011-09-30|""|"Donna"|"Laux"|"Marketing Director"|"New Braunfels, Texas"|1400|6400|7|1|400|6400|1400
3723|6215|2011-09-30|""|"Rob"|"Landolfi"|"An Environmental Protection Specialist"|"Washington, D.C."|13600|9000|13|3|3400|22000|13600
3723|6215|2011-09-30|""|"Chris"|"Fleitas"|"High School College Prep Counselor"|"San Francisco, California"|44001|28200|32|1|10400|28800|44001
3724|6216|2011-10-03|"Joon Pahk game 1."|"Aleisa"|"Farrington"|"Mother And Cook"|"Dover, New Hampshire"|7200|5200|11|3|3600|5200|7200
3724|6216|2011-10-03|"Joon Pahk game 1."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|28800|24800|31|2|7600|21300|28800
3724|6216|2011-10-03|"Joon Pahk game 1."|"Chris"|"Fleitas"|"High School College Prep Counselor"|"San Francisco, California"|23198|10600|13|1|6800|11600|23198
3725|6217|2011-10-04|"Joon Pahk game 2."|"Megan"|"Johnson"|"An Attorney Originally"|"Toledo, Ohio"|17999|9000|9|0|1000|9000|17999
3725|6217|2011-10-04|"Joon Pahk game 2."|"Elaine"|"Ricci"|"Tutor And Substitute Teacher"|"Houston, Texas"|0|10600|15|0|5000|10600|0
3725|6217|2011-10-04|"Joon Pahk game 2."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|50800|23200|29|3|10400|38800|50800
3726|6218|2011-10-05|"Joon Pahk game 3."|"Daniel"|"Okobi"|"JR., Medical Student"|"Freeport, New York"|3800|2200|11|4|2600|2200|3800
3726|6218|2011-10-05|"Joon Pahk game 3."|"Katie"|"Baker"|"Staffer For A Political Organization Originally"|"Mount Vernon, Ohio"|21400|13000|12|1|600|16400|21400
3726|6218|2011-10-05|"Joon Pahk game 3."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|33100|22000|28|5|4800|16600|33100
3727|1799|1992-05-28|""|"Lynn"|"Evans"|"An Interpreter"|"Richmond, Virginia"|6000|4000|14|6|1600|3000|6000
3727|1799|1992-05-28|""|"Bernard"|"Welt"|"Teacher"|"Takoma Park, Maryland"|13000|12400|27|2|2400|11600|13000
3727|1799|1992-05-28|""|"Bob"|"Smith"|"An Engineer"|"Kinnelon, New Jersey"|6100|4100|14|1|2500|4100|6100
3728|1800|1992-05-29|""|"Stuart"|"Wald"|"Law Student"|"New Orleans, Louisiana"|19700|10400|27|3|5500|11400|19700
3728|1800|1992-05-29|""|"Judy"|"Senecal"|"Medical Techologist"|"Montreal, Canada"|100|1200|8|3|1000|1200|100
3728|1800|1992-05-29|""|"Bernard"|"Welt"|"Teacher"|"Takoma Park, Maryland"|19500|8800|22|3|1600|9800|19500
3729|6220|2011-10-07|"Joon Pahk game 5."|"Adam"|"Perrotta"|"Writer Originally"|"Saratoga Springs, New York"|7799|7000|11|4|1800|8000|7799
3729|6220|2011-10-07|"Joon Pahk game 5."|"Bret"|"Jacobs"|"Financial Consultant"|"Irvine, California"|16399|8200|12|2|5400|8200|16399
3729|6220|2011-10-07|"Joon Pahk game 5."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|16800|21600|29|3|7000|19300|16800
3730|1905|1992-12-11|""|"George"|"Holloway"|"Police Dispatcher"|"Philadelphia, Pennsylvania"|3400|1700|7|3|300|1700|3400
3730|1905|1992-12-11|""|"Sheryl"|"Stein"|"Program Analyst"|"Arlington, Virginia"|5300|6300|20|2|2500|6300|5300
3730|1905|1992-12-11|""|"Linda"|"Kissling"|"An Educational Media Specialist"|"Cape May, New Jersey"|1750|5300|19|8|1500|900|1750
3731|1906|1992-12-14|""|"Paul"|"Voiron"|"Law Clerk"|"Harvey, Louisiana"|1500|5300|12|0|2300|5500|1500
3731|1906|1992-12-14|""|"Ellen"|"Kurek"|"Health Researcher Originally"|"Port Carbon, Pennsylvania"|0|1700|10|6|300|1700|0
3731|1906|1992-12-14|""|"Sheryl"|"Stein"|"Program Analyst"|"Arlington, Virginia"|2700|5200|22|5|3300|4700|2700
3732|1907|1992-12-15|""|"Lucia"|"Fitzgerald"|"An Executive Originally"|"Kansas City, Missouri"|100|3600|12|4|600|3900|100
3732|1907|1992-12-15|""|"Dave"|"Story"|"Documentary Researcher"|"Los Angeles, California"|2100|6100|17|7|1100|3100|2100
3732|1907|1992-12-15|""|"Sheryl"|"Stein"|"Program Analyst"|"Arlington, Virginia"|3599|5700|19|3|2500|5700|3599
3733|6221|2011-10-10|"Joon Pahk game 6."|"Jared"|"Balkman"|"Vending Route Driver"|"Appleton, Wisconsin"|9100|10200|10|1|1800|10200|9100
3733|6221|2011-10-10|"Joon Pahk game 6."|"Hannah"|"Wachs"|"An Elementary School Teacher"|"Irvine, California"|1999|11200|13|1|2800|11200|1999
3733|6221|2011-10-10|"Joon Pahk game 6."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|23700|21400|30|3|11400|31200|23700
3734|6222|2011-10-11|"Joon Pahk game 7."|"Ashley"|"Shannon"|"An English Professor"|"Grand Rapids, Michigan"|16401|11800|11|0|5000|11800|16401
3734|6222|2011-10-11|"Joon Pahk game 7."|"Michael"|"Stewart"|"Renaissance Player And Trivia Host"|"Charlotte, North Carolina"|15400|11400|15|2|2200|8200|15400
3734|6222|2011-10-11|"Joon Pahk game 7."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|29100|23800|33|4|12400|26400|29100
3735|6219|2011-10-06|"Joon Pahk game 4."|"Franny"|"Howes"|"Graduate Student In Rhetoric And Writing"|"Blacksburg, Virginia"|5200|17000|19|0|6600|17600|5200
3735|6219|2011-10-06|"Joon Pahk game 4."|"Ted"|"Simmons"|"An Executive Compensation Consultant"|"Chicago, Illinois"|0|7400|12|2|2200|8200|0
3735|6219|2011-10-06|"Joon Pahk game 4."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|16700|12600|23|4|8200|14200|16700
3736|6223|2011-10-12|"Joon Pahk game 8."|"Leigh"|"Wishner"|"An Antique Textile And Costume Specialist"|"The Bronx, New York"|11200|6600|12|4|1200|5600|11200
3736|6223|2011-10-12|"Joon Pahk game 8."|"Katie"|"Proctor"|"Stay-At-Home Mom"|"Hendersonville, North Carolina"|26401|17600|20|1|3600|17600|26401
3736|6223|2011-10-12|"Joon Pahk game 8."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|17600|13200|22|4|6400|13200|17600
3737|6224|2011-10-13|""|"Liz"|"Good"|"Freelance Editor"|"Brockton, Massachusetts"|10600|10600|12|1|1400|10600|10600
3737|6224|2011-10-13|""|"Drew"|"Denton"|"Graduate Student Of American Religious History"|"Decatur, Georgia"|7040|3800|9|4|1400|5200|7040
3737|6224|2011-10-13|""|"Katie"|"Proctor"|"Stay-At-Home Mom"|"Hendersonville, North Carolina"|24800|30200|34|0|12400|32400|24800
3738|6225|2011-10-14|""|"Joe"|"Koster"|"Telephone Technician"|"Pelham, New Hampshire"|25201|14000|17|2|4400|18200|25201
3738|6225|2011-10-14|""|"Megan"|"Benitz"|"Museum Registrar"|"Wathena, Kansas"|6600|12600|14|1|5000|12600|6600
3738|6225|2011-10-14|""|"Katie"|"Proctor"|"Stay-At-Home Mom"|"Hendersonville, North Carolina"|2200|11600|25|5|5000|12200|2200
3739|6226|2011-10-17|""|"Jeff"|"Dufour"|"An Online Editor"|"Washington, D.C."|10799|14800|20|1|4800|14800|10799
3739|6226|2011-10-17|""|"Lanny"|"Timan"|"Business Manager"|"Chicago, Illinois"|16001|9600|14|3|6500|9400|16001
3739|6226|2011-10-17|""|"Joe"|"Koster"|"Telephone Technician"|"Pelham, New Hampshire"|15998|8000|15|4|4400|8000|15998
3740|6227|2011-10-18|""|"Liz"|"Greenwood"|"Graduate Student In Economics Originally"|"Wyomissing, Pennsylvania"|1599|7600|15|4|2800|7600|1599
3740|6227|2011-10-18|""|"Ray"|"Crosby"|"Graduate Student Of Victorian Literature Originally"|"Bakersfield, California"|2|14000|23|6|4000|6000|2
3740|6227|2011-10-18|""|"Lanny"|"Timan"|"Business Manager"|"Chicago, Illinois"|1599|8400|10|4|1200|6800|1599
3741|6228|2011-10-19|""|"Lloyd"|"Caesar"|"An Office Manager"|"Watervliet, New York"|22359|17000|18|2|2200|19800|22359
3741|6228|2011-10-19|""|"Liz"|"Greenwood"|"Graduate Student In Economics Originally"|"Wyomissing, Pennsylvania"|1200|21600|25|1|7200|20400|1200
3741|6228|2011-10-19|""|"Lanny"|"Timan"|"Business Manager"|"Chicago, Illinois"|1001|8600|11|1|3000|8600|1001
3742|6229|2011-10-20|""|"Jay"|"Peterson"|"An English Professor"|"Howell, New Jersey"|25201|14400|19|3|8000|16400|25201
3742|6229|2011-10-20|""|"Jessie"|"Christensen"|"Librarian"|"Orem, Utah"|1000|14800|23|5|4400|11000|1000
3742|6229|2011-10-20|""|"Lloyd"|"Caesar"|"An Office Manager"|"Watervliet, New York"|25199|12600|14|1|4200|12600|25199
3743|6230|2011-10-21|""|"Balaji"|"Narain"|"An Attorney Originally"|"Cumming, Georgia"|35400|16600|22|2|5400|17800|35400
3743|6230|2011-10-21|""|"Heather"|"Anstaett"|"An Auditor"|"West Palm Beach, Florida"|18799|8800|13|2|2600|9400|18799
3743|6230|2011-10-21|""|"Jay"|"Peterson"|"An English Professor"|"Howell, New Jersey"|3599|17800|19|1|3800|19600|3599
3744|6231|2011-10-24|"Alex introduces the newly unveiled Jeopardy! Hall of Fame backstage."|"Laura"|"Bulkin"|"Pianist And Music Teacher"|"Taos, New Mexico"|9999|15400|19|1|3400|15400|9999
3744|6231|2011-10-24|"Alex introduces the newly unveiled Jeopardy! Hall of Fame backstage."|"Francisco"|"Maldonado-Ramirez"|"Legislative Aide"|"Highland Park, New Jersey"|0|13400|18|4|1400|10400|0
3744|6231|2011-10-24|"Alex introduces the newly unveiled Jeopardy! Hall of Fame backstage."|"Balaji"|"Narain"|"An Attorney Originally"|"Cumming, Georgia"|20399|8800|13|3|2000|10200|20399
3745|6232|2011-10-25|""|"Jennifer"|"Dockter"|"Stay-At-Home Mom"|"Fremont, California"|33200|15800|20|2|5000|17200|33200
3745|6232|2011-10-25|""|"Gabor"|"Vari"|"Psychiatrist"|"Los Angeles, California"|34401|21800|28|2|10000|23600|34401
3745|6232|2011-10-25|""|"Balaji"|"Narain"|"An Attorney Originally"|"Cumming, Georgia"|0|6000|6|0|1600|6000|0
3746|6233|2011-10-26|""|"Abigail"|"Gardner"|"Library Technician"|"Alexandria, Virginia"|5999|3000|9|2|2200|3000|5999
3746|6233|2011-10-26|""|"Ryan"|"Mccune"|"Pathologist"|"ST. George, Utah"|17999|10000|15|2|4400|12000|17999
3746|6233|2011-10-26|""|"Gabor"|"Vari"|"Psychiatrist"|"Los Angeles, California"|24001|20200|28|5|3800|19200|24001
3747|6234|2011-10-27|"Clip of Sunny Stalter's contestant interview from this game appeared in a clue in show #8048, aired 2019-09-11."|"Alex"|"Johnson"|"An Actor And Theater Intern Originally"|"Danvers, Massachusetts"|9600|3600|10|2|800|4800|9600
3747|6234|2011-10-27|"Clip of Sunny Stalter's contestant interview from this game appeared in a clue in show #8048, aired 2019-09-11."|"Sunny"|"Stalter"|"An English Professor"|"Auburn, Alabama"|29200|14000|17|3|8000|15200|29200
3747|6234|2011-10-27|"Clip of Sunny Stalter's contestant interview from this game appeared in a clue in show #8048, aired 2019-09-11."|"Gabor"|"Vari"|"Psychiatrist"|"Los Angeles, California"|19599|10600|23|7|5000|14600|19599
3748|6235|2011-10-28|""|"John"|"Jordan"|"University English Teacher"|"Fort Collins, Colorado"|0|9000|15|8|600|4400|0
3748|6235|2011-10-28|""|"Helaine"|"Greenfeld"|"Government Attorney"|"Chevy Chase, Maryland"|5799|6400|12|7|0|2900|5799
3748|6235|2011-10-28|""|"Sunny"|"Stalter"|"An English Professor"|"Auburn, Alabama"|7000|8000|15|2|2400|8000|7000
3749|6236|2011-10-31|""|"Evan"|"Sandman"|"Hotel Front Desk Manager"|"Los Angeles, California"|28801|18000|16|0|2800|22200|28801
3749|6236|2011-10-31|""|"Gina"|"Harris"|"Document Specialist"|"Aloha, Oregon"|500|10600|17|1|4200|10600|500
3749|6236|2011-10-31|""|"Sunny"|"Stalter"|"An English Professor"|"Auburn, Alabama"|28400|13600|21|2|8000|14400|28400
3750|6237|2011-11-01|""|"Emily"|"Gifford"|"Historical Researcher And Writer"|"Middletown, Connecticut"|33800|17000|19|1|4200|17000|33800
3750|6237|2011-11-01|""|"Dave"|"Burnstein"|"An Attorney"|"Louisville, Kentucky"|0|1200|7|2|2400|1200|0
3750|6237|2011-11-01|""|"Evan"|"Sandman"|"Hotel Front Desk Manager"|"Los Angeles, California"|21599|24800|29|2|7000|27800|21599
3751|6238|2011-11-02|"2011 Tournament of Champions quarterfinal game 1."|"Charles"|"Temple"|"High School English Teacher"|"Ocracoke, North Carolina"|285|400|15|8|2000|400|285
3751|6238|2011-11-02|"2011 Tournament of Champions quarterfinal game 1."|"Jay"|"Rhee"|"An Oncologist"|"Annapolis, Maryland"|16401|10800|19|6|4800|12000|16401
3751|6238|2011-11-02|"2011 Tournament of Champions quarterfinal game 1."|"Tom"|"Nissley"|"Writer"|"Seattle, Washington"|16403|14400|19|3|8000|16400|16403
3752|6239|2011-11-03|"2011 Tournament of Champions quarterfinal game 2."|"Kara"|"Spak"|"Newspaper Reporter"|"Chicago, Illinois"|6012|6000|10|3|4000|6000|6012
3752|6239|2011-11-03|"2011 Tournament of Champions quarterfinal game 2."|"Brian"|"Meacham"|"Film Preservationist Originally"|"Anchorage, Alaska"|0|8600|12|1|3200|8800|0
3752|6239|2011-11-03|"2011 Tournament of Champions quarterfinal game 2."|"Roger"|"Craig"|"Computer Scientist"|"Newark, Delaware"|19600|32000|36|3|7600|39800|19600
3753|6240|2011-11-04|"2011 Tournament of Champions quarterfinal game 3."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|30800|18400|26|3|6800|20800|30800
3753|6240|2011-11-04|"2011 Tournament of Champions quarterfinal game 3."|"Tom"|"Kunzen"|"Geotechnical Engineer"|"Orlando, Florida"|0|6200|13|7|600|4200|0
3753|6240|2011-11-04|"2011 Tournament of Champions quarterfinal game 3."|"John"|"Krizel"|"Writer Originally"|"Oceanside, New York"|14|2000|10|5|1600|2000|14
3754|6241|2011-11-07|"2011 Tournament of Champions quarterfinal game 4."|"Buddy"|"Wright"|"An Operations Engineer"|"Fort Worth, Texas"|17201|16800|23|1|8000|16800|17201
3754|6241|2011-11-07|"2011 Tournament of Champions quarterfinal game 4."|"Erin"|"Mclean"|"Junior At Boston University"|"Danvers, Massachusetts"|16003|10800|14|3|4800|8600|16003
3754|6241|2011-11-07|"2011 Tournament of Champions quarterfinal game 4."|"Paul"|"Kursky"|"An Online Marketing Producer"|"San Francisco, California"|2400|1200|12|7|1600|1200|2400
3755|6243|2011-11-09|"2011 Tournament of Champions semifinal game 1."|"Erin"|"Mclean"|"Junior At Boston University"|"Danvers, Massachusetts"|2|5400|12|2|1000|5400|2
3755|6243|2011-11-09|"2011 Tournament of Champions semifinal game 1."|"Tom"|"Nissley"|"Writer"|"Seattle, Washington"|27201|29000|27|1|4400|26200|27201
3755|6243|2011-11-09|"2011 Tournament of Champions semifinal game 1."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|20799|10400|15|3|6400|10400|20799
3756|6242|2011-11-08|"2011 Tournament of Champions quarterfinal game 5."|"Christopher"|"Short"|"Pub Trivia Editor"|"Crawfordsville, Indiana"|0|7400|11|2|1100|5900|0
3756|6242|2011-11-08|"2011 Tournament of Champions quarterfinal game 5."|"Justin"|"Sausville"|"Urologist"|"Baltimore, Maryland"|18599|17600|19|1|5600|15200|18599
3756|6242|2011-11-08|"2011 Tournament of Champions quarterfinal game 5."|"Mark"|"Runsvold"|"Student And Waiter"|"Moscow, Idaho"|24000|12200|19|1|6200|12200|24000
3757|6245|2011-11-11|"2011 Tournament of Champions semifinal game 3."|"Roger"|"Craig"|"Computer Scientist"|"Newark, Delaware"|27600|12400|21|6|5000|27600|27600
3757|6245|2011-11-11|"2011 Tournament of Champions semifinal game 3."|"Mark"|"Runsvold"|"Student And Waiter"|"Moscow, Idaho"|1055|13400|19|1|2200|13400|1055
3757|6245|2011-11-11|"2011 Tournament of Champions semifinal game 3."|"Joon"|"Pahk"|"College Physics Teacher"|"Somerville, Massachusetts"|11662|11800|14|4|3400|11800|11662
